year,state,category,cases,lag_1,lag_2,rolling_mean_3,growth_rate,state_encoded,category_encoded
2019,ARUNACHAL PRADESH,piracy,1.0,0.0,0.0,0.3333333333333333,inf,2,9
2020,ARUNACHAL PRADESH,piracy,0.0,1.0,0.0,0.3333333333333333,-1.0,2,9
2021,ARUNACHAL PRADESH,piracy,0.0,0.0,1.0,0.3333333333333333,0.0,2,9
2022,ARUNACHAL PRADESH,piracy,0.0,0.0,0.0,0.0,0.0,2,9
2023,ARUNACHAL PRADESH,piracy,0.0,0.0,0.0,0.0,0.0,2,9
2016,ARUNACHAL PRADESH,political motive,1.0,0.0,0.0,0.0,0.0,2,10
2017,ARUNACHAL PRADESH,political motive,0.0,1.0,0.0,0.0,-1.0,2,10
2018,ARUNACHAL PRADESH,political motive,0.0,0.0,1.0,0.3333333333333333,0.0,2,10
2019,ARUNACHAL PRADESH,political motive,0.0,0.0,0.0,0.0,0.0,2,10
2020,ARUNACHAL PRADESH,political motive,0.0,0.0,0.0,0.0,0.0,2,10
2021,ARUNACHAL PRADESH,political motive,0.0,0.0,0.0,0.0,0.0,2,10
2022,ARUNACHAL PRADESH,political motive,0.0,0.0,0.0,0.0,0.0,2,10
2023,ARUNACHAL PRADESH,political motive,0.0,0.0,0.0,0.0,0.0,2,10
2016,ARUNACHAL PRADESH,prank,0.0,0.0,0.0,0.0,0.0,2,11
2017,ARUNACHAL PRADESH,prank,0.0,0.0,0.0,0.0,0.0,2,11
2018,ARUNACHAL PRADESH,prank,0.0,0.0,0.0,0.0,0.0,2,11
2019,ARUNACHAL PRADESH,prank,0.0,0.0,0.0,0.0,0.0,2,11
2020,ARUNACHAL PRADESH,prank,0.0,0.0,0.0,0.0,0.0,2,11
2021,ARUNACHAL PRADESH,prank,0.0,0.0,0.0,0.0,0.0,2,11
2022,ARUNACHAL PRADESH,prank,0.0,0.0,0.0,0.0,0.0,2,11
2023,ARUNACHAL PRADESH,prank,0.0,0.0,0.0,0.0,0.0,2,11
2016,ARUNACHAL PRADESH,sexual exploitation,0.0,0.0,0.0,0.0,0.0,2,12
2017,ARUNACHAL PRADESH,sexual exploitation,0.0,0.0,0.0,0.0,0.0,2,12
2018,ARUNACHAL PRADESH,sexual exploitation,0.0,0.0,0.0,0.0,0.0,2,12
2019,ARUNACHAL PRADESH,sexual exploitation,0.0,0.0,0.0,0.0,0.0,2,12
2020,ARUNACHAL PRADESH,sexual exploitation,0.0,0.0,0.0,0.0,0.0,2,12
2021,ARUNACHAL PRADESH,sexual exploitation,4.0,0.0,0.0,1.3333333333333333,inf,2,12
2022,ARUNACHAL PRADESH,sexual exploitation,2.0,4.0,0.0,2.0,-0.5,2,12
2023,ARUNACHAL PRADESH,sexual exploitation,0.0,2.0,4.0,2.0,-1.0,2,12
2017,ARUNACHAL PRADESH,terrorism,0.0,0.0,0.0,0.0,0.0,2,13
2018,ARUNACHAL PRADESH,terrorism,0.0,0.0,0.0,0.0,0.0,2,13
2019,ARUNACHAL PRADESH,terrorism,0.0,0.0,0.0,0.0,0.0,2,13
2020,ARUNACHAL PRADESH,terrorism,0.0,0.0,0.0,0.0,0.0,2,13
2021,ARUNACHAL PRADESH,terrorism,0.0,0.0,0.0,0.0,0.0,2,13
2022,ARUNACHAL PRADESH,terrorism,0.0,0.0,0.0,0.0,0.0,2,13
2023,ARUNACHAL PRADESH,terrorism,0.0,0.0,0.0,0.0,0.0,2,13
2017,ASSAM,abetment suicide,0.0,0.0,0.0,0.0,0.0,3,1
