state,year,category,cases
BIHAR,2017,piracy,0.0
BIHAR,2017,political motive,0.0
BIHAR,2017,prank,0.0
BIHAR,2017,sexual exploitation,16.0
BIHAR,2017,terrorism,0.0
BIHAR,2018,abetment suicide,0.0
BIHAR,2018,data theft,0.0
BIHAR,2018,emotional motive,8.0
BIHAR,2018,extortion,2.0
BIHAR,2018,fraud,351.0
BIHAR,2018,hate crime,0.0
BIHAR,2018,illegal trade,0.0
BIHAR,2018,personal revenge,5.0
BIHAR,2018,piracy,0.0
BIHAR,2018,political motive,0.0
BIHAR,2018,prank,0.0
BIHAR,2018,sexual exploitation,8.0
BIHAR,2018,terrorism,0.0
BIHAR,2019,abetment suicide,0.0
BIHAR,2019,data theft,0.0
BIHAR,2019,emotional motive,7.0
BIHAR,2019,extortion,109.0
BIHAR,2019,fraud,844.0
BIHAR,2019,hate crime,0.0
BIHAR,2019,illegal trade,2.0
BIHAR,2019,personal revenge,27.0
BIHAR,2019,piracy,0.0
BIHAR,2019,political motive,0.0
BIHAR,2019,prank,5.0
BIHAR,2019,sexual exploitation,8.0
BIHAR,2019,terrorism,0.0
BIHAR,2020,abetment suicide,0.0
BIHAR,2020,data theft,0.0
BIHAR,2020,emotional motive,34.0
BIHAR,2020,extortion,102.0
BIHAR,2020,fraud,1218.0
BIHAR,2020,hate crime,0.0
BIHAR,2020,illegal trade,0.0
BIHAR,2020,personal revenge,84.0
BIHAR,2020,piracy,0.0
BIHAR,2020,political motive,7.0
BIHAR,2020,prank,12.0
BIHAR,2020,sexual exploitation,32.0
BIHAR,2020,terrorism,0.0
BIHAR,2021,abetment suicide,0.0
BIHAR,2021,data theft,0.0
BIHAR,2021,emotional motive,98.0
BIHAR,2021,extortion,93.0
BIHAR,2021,fraud,1033.0
BIHAR,2021,hate crime,0.0
BIHAR,2021,illegal trade,0.0
BIHAR,2021,personal revenge,51.0
BIHAR,2021,piracy,0.0
BIHAR,2021,political motive,0.0
BIHAR,2021,prank,31.0
BIHAR,2021,sexual exploitation,88.0
BIHAR,2021,terrorism,0.0
BIHAR,2023,abetment suicide,0.0
BIHAR,2023,data theft,24.0
BIHAR,2023,emotional motive,309.0
BIHAR,2023,extortion,159.0
BIHAR,2023,fraud,3422.0
BIHAR,2023,hate crime,0.0
BIHAR,2023,illegal trade,0.0
BIHAR,2023,personal revenge,326.0
BIHAR,2023,piracy,10.0
BIHAR,2023,political motive,0.0
BIHAR,2023,prank,19.0
BIHAR,2023,sexual exploitation,93.0
BIHAR,2023,terrorism,0.0
CHANDIGARH,2016,data theft,0.0
CHANDIGARH,2016,extortion,1.0
CHANDIGARH,2016,hate crime,0.0
CHANDIGARH,2016,illegal trade,0.0
CHANDIGARH,2016,personal revenge,2.0
CHANDIGARH,2016,piracy,0.0
CHANDIGARH,2016,political motive,0.0
CHANDIGARH,2016,prank,0.0
CHANDIGARH,2016,sexual exploitation,4.0
CHANDIGARH,2017,abetment suicide,0.0
CHANDIGARH,2017,data theft,0.0
CHANDIGARH,2017,emotional motive,0.0
CHANDIGARH,2017,extortion,4.0
CHANDIGARH,2017,fraud,24.0
CHANDIGARH,2017,hate crime,0.0
CHANDIGARH,2017,illegal trade,0.0
CHANDIGARH,2017,personal revenge,0.0
CHANDIGARH,2017,piracy,0.0
CHANDIGARH,2017,political motive,0.0
CHANDIGARH,2017,prank,0.0
CHANDIGARH,2017,sexual exploitation,0.0
CHANDIGARH,2017,terrorism,0.0
CHANDIGARH,2018,abetment suicide,0.0
CHANDIGARH,2018,data theft,0.0
CHANDIGARH,2018,emotional motive,0.0
CHANDIGARH,2018,extortion,3.0
CHANDIGARH,2018,fraud,19.0
CHANDIGARH,2018,hate crime,0.0
CHANDIGARH,2018,illegal trade,0.0
CHANDIGARH,2018,personal revenge,0.0
CHANDIGARH,2018,piracy,0.0
CHANDIGARH,2018,political motive,0.0
CHANDIGARH,2018,prank,7.0
CHANDIGARH,2018,sexual exploitation,0.0
CHANDIGARH,2018,terrorism,0.0
CHANDIGARH,2019,abetment suicide,0.0
CHANDIGARH,2019,data theft,0.0
CHANDIGARH,2019,emotional motive,0.0
CHANDIGARH,2019,extortion,0.0
CHANDIGARH,2019,fraud,7.0
CHANDIGARH,2019,hate crime,0.0
CHANDIGARH,2019,illegal trade,0.0
CHANDIGARH,2019,personal revenge,4.0
CHANDIGARH,2019,piracy,0.0
CHANDIGARH,2019,political motive,0.0
CHANDIGARH,2019,prank,0.0
CHANDIGARH,2019,sexual exploitation,7.0
CHANDIGARH,2019,terrorism,0.0
CHANDIGARH,2020,abetment suicide,0.0
CHANDIGARH,2020,data theft,0.0
CHANDIGARH,2020,emotional motive,0.0
CHANDIGARH,2020,extortion,1.0
CHANDIGARH,2020,fraud,7.0
CHANDIGARH,2020,hate crime,0.0
CHANDIGARH,2020,illegal trade,0.0
CHANDIGARH,2020,personal revenge,0.0
CHANDIGARH,2020,piracy,0.0
CHANDIGARH,2020,political motive,0.0
CHANDIGARH,2020,prank,0.0
CHANDIGARH,2020,sexual exploitation,7.0
CHANDIGARH,2020,terrorism,0.0
CHANDIGARH,2021,abetment suicide,0.0
CHANDIGARH,2021,data theft,0.0
CHANDIGARH,2021,emotional motive,0.0
CHANDIGARH,2021,extortion,0.0
CHANDIGARH,2021,fraud,2.0
CHANDIGARH,2021,hate crime,0.0
CHANDIGARH,2021,illegal trade,0.0
CHANDIGARH,2021,personal revenge,0.0
CHANDIGARH,2021,piracy,0.0
CHANDIGARH,2021,political motive,0.0
CHANDIGARH,2021,prank,0.0
CHANDIGARH,2021,sexual exploitation,7.0
CHANDIGARH,2021,terrorism,0.0
CHANDIGARH,2023,abetment suicide,0.0
CHANDIGARH,2023,data theft,0.0
CHANDIGARH,2023,emotional motive,0.0
CHANDIGARH,2023,extortion,3.0
CHANDIGARH,2023,fraud,3.0
CHANDIGARH,2023,hate crime,0.0
CHANDIGARH,2023,illegal trade,0.0
CHANDIGARH,2023,personal revenge,2.0
CHANDIGARH,2023,piracy,0.0
CHANDIGARH,2023,political motive,0.0
CHANDIGARH,2023,prank,0.0
CHANDIGARH,2023,sexual exploitation,9.0
CHANDIGARH,2023,terrorism,0.0
CHHATTISGARH,2016,data theft,0.0
CHHATTISGARH,2016,extortion,1.0
CHHATTISGARH,2016,hate crime,0.0
CHHATTISGARH,2016,illegal trade,0.0
CHHATTISGARH,2016,personal revenge,19.0
CHHATTISGARH,2016,piracy,0.0
CHHATTISGARH,2016,political motive,1.0
CHHATTISGARH,2016,prank,1.0
CHHATTISGARH,2016,sexual exploitation,11.0
CHHATTISGARH,2017,abetment suicide,0.0
CHHATTISGARH,2017,data theft,0.0
CHHATTISGARH,2017,emotional motive,3.0
CHHATTISGARH,2017,extortion,4.0
